Time,Setpoint,Measurement,Output,Error,DeltaOutput
1.200,10.000,-4.412,-1.172,14.412,1.425
1.210,10.000,-4.345,-2.237,14.345,-1.065
1.220,10.000,-4.432,-0.484,14.432,1.753
1.230,10.000,-4.369,-1.942,14.369,-1.458
1.240,10.000,-4.349,-1.404,14.349,0.538
1.250,10.000,-4.335,-1.253,14.335,0.151
1.260,10.000,-4.311,-1.261,14.311,-0.008
1.270,10.000,-4.362,-0.348,14.362,0.913
1.280,10.000,-4.247,-2.004,14.247,-1.656
1.290,10.000,-4.300,-0.161,14.300,1.843
1.300,10.000,-4.280,-0.799,14.280,-0.638
1.310,10.000,-4.251,-0.797,14.251,0.003
1.320,10.000,-4.233,-0.594,14.233,0.202
1.330,10.000,-4.248,-0.135,14.248,0.460
1.340,10.000,-4.212,-0.565,14.212,-0.430
1.350,10.000,-4.183,-0.411,14.183,0.154
1.360,10.000,-4.113,-0.781,14.113,-0.370
1.370,10.000,-4.110,0.002,14.110,0.783
1.380,10.000,-4.086,-0.127,14.086,-0.129
1.390,10.000,-4.077,0.137,14.077,0.264
1.400,10.000,-4.093,0.513,14.093,0.376
1.410,10.000,-4.096,0.491,14.096,-0.022
1.420,10.000,-3.996,-0.513,13.996,-1.003
1.430,10.000,-3.983,0.442,13.983,0.955
1.440,10.000,-4.007,0.951,14.007,0.509
1.450,10.000,-3.924,-0.086,13.924,-1.036
1.460,10.000,-3.978,1.446,13.978,1.531
1.470,10.000,-3.924,0.429,13.924,-1.016
1.480,10.000,-3.899,0.803,13.899,0.374
1.490,10.000,-3.876,0.908,13.876,0.105
1.500,10.000,-3.856,1.028,13.856,0.119
1.510,10.000,-3.778,0.484,13.778,-0.543
1.520,10.000,-3.805,1.666,13.805,1.182
1.530,10.000,-3.776,1.198,13.776,-0.469
1.540,10.000,-3.753,1.340,13.753,0.142
1.550,10.000,-3.766,1.820,13.766,0.481
1.560,10.000,-3.737,1.475,13.737,-0.345
1.570,10.000,-3.703,1.508,13.703,0.033
1.580,10.000,-3.680,1.704,13.680,0.197
1.590,10.000,-3.656,1.780,13.656,0.076
1.600,10.000,-3.583,1.323,13.583,-0.457
1.610,10.000,-3.561,1.928,13.561,0.605
1.620,10.000,-3.524,1.843,13.524,-0.085
1.630,10.000,-3.450,1.499,13.450,-0.344
1.640,10.000,-3.460,2.471,13.460,0.971
1.650,10.000,-3.405,1.863,13.405,-0.607
1.660,10.000,-3.419,2.682,13.419,0.819
1.670,10.000,-3.371,2.119,13.371,-0.562
1.680,10.000,-3.332,2.269,13.332,0.150
1.690,10.000,-3.341,2.865,13.341,0.596
1.700,10.000,-3.303,2.478,13.303,-0.387
1.710,10.000,-3.200,1.813,13.200,-0.664
1.720,10.000,-3.237,3.371,13.237,1.557
1.730,10.000,-3.222,2.928,13.222,-0.443
1.740,10.000,-3.119,2.062,13.119,-0.865
1.750,10.000,-3.102,3.006,13.102,0.943
1.760,10.000,-3.132,3.609,13.132,0.603
1.770,10.000,-3.099,3.053,13.099,-0.557
1.780,10.000,-3.052,2.963,13.052,-0.089
1.790,10.000,-2.980,2.751,12.980,-0.212
1.800,10.000,-2.954,3.287,12.954,0.537
1.810,10.000,-2.910,3.168,12.910,-0.119
1.820,10.000,-2.885,3.434,12.885,0.266
1.830,10.000,-2.804,2.897,12.804,-0.537
1.840,10.000,-2.863,4.465,12.863,1.568
1.850,10.000,-2.734,2.549,12.734,-1.916
1.860,10.000,-2.799,4.654,12.799,2.104
1.870,10.000,-2.748,3.554,12.748,-1.100
1.880,10.000,-2.718,3.833,12.718,0.279
1.890,10.000,-2.680,3.813,12.680,-0.021
1.900,10.000,-2.639,3.851,12.639,0.038
1.910,10.000,-2.564,3.525,12.564,-0.326
1.920,10.000,-2.532,4.035,12.532,0.510
1.930,10.000,-2.483,3.911,12.483,-0.124
1.940,10.000,-2.462,4.265,12.462,0.354
1.950,10.000,-2.464,4.598,12.464,0.333
1.960,10.000,-2.389,3.855,12.389,-0.743
1.970,10.000,-2.311,3.848,12.311,-0.008
1.980,10.000,-2.301,4.616,12.301,0.768
1.990,10.000,-2.317,4.984,12.317,0.368
2.000,10.000,-2.272,4.430,12.272,-0.554
2.010,10.000,-2.156,3.701,12.156,-0.729
2.020,10.000,-2.205,5.501,12.205,1.800
2.030,10.000,-2.122,4.194,12.122,-1.307
2.040,10.000,-2.129,5.192,12.129,0.998
2.050,10.000,-2.000,3.813,12.000,-1.379
2.060,10.000,-2.040,5.621,12.040,1.808
2.070,10.000,-2.002,4.910,12.002,-0.711
2.080,10.000,-1.880,4.045,11.880,-0.864
2.090,10.000,-1.904,5.624,11.904,1.579
2.100,10.000,-1.828,4.636,11.828,-0.989
2.110,10.000,-1.814,5.340,11.814,0.704
2.120,10.000,-1.722,4.559,11.722,-0.781
2.130,10.000,-1.761,6.006,11.761,1.447
2.140,10.000,-1.693,4.964,11.693,-1.042
2.150,10.000,-1.695,5.754,11.695,0.790
2.160,10.000,-1.639,5.215,11.639,-0.539
2.170,10.000,-1.571,5.112,11.571,-0.104
2.180,10.000,-1.563,5.808,11.563,0.697
2.190,10.000,-1.513,5.419,11.513,-0.390
2.200,10.000,-1.442,5.234,11.442,-0.185
2.210,10.000,-1.430,5.904,11.430,0.671
2.220,10.000,-1.340,5.125,11.340,-0.779
2.230,10.000,-1.374,6.488,11.374,1.363
2.240,10.000,-1.243,4.799,11.243,-1.689
2.250,10.000,-1.274,6.549,11.274,1.750
2.260,10.000,-1.240,5.941,11.240,-0.608
2.270,10.000,-1.178,5.690,11.178,-0.251
2.280,10.000,-1.162,6.231,11.162,0.541
2.290,10.000,-1.055,5.299,11.055,-0.932
2.300,10.000,-1.052,6.424,11.052,1.125
2.310,10.000,-1.029,6.287,11.029,-0.138
2.320,10.000,-0.944,5.671,10.944,-0.615
2.330,10.000,-0.922,6.364,10.922,0.693
2.340,10.000,-0.860,5.999,10.860,-0.365
2.350,10.000,-0.820,6.255,10.820,0.256
2.360,10.000,-0.808,6.616,10.808,0.362
2.370,10.000,-0.718,5.829,10.718,-0.788
2.380,10.000,-0.686,6.453,10.686,0.625
2.390,10.000,-0.691,6.926,10.691,0.473
2.400,10.000,-0.658,6.594,10.658,-0.332
2.410,10.000,-0.588,6.240,10.588,-0.354
2.420,10.000,-0.518,6.257,10.518,0.017
2.430,10.000,-0.539,7.263,10.539,1.006
2.440,10.000,-0.441,6.064,10.441,-1.199
2.450,10.000,-0.450,7.228,10.450,1.164
2.460,10.000,-0.405,6.728,10.405,-0.500
2.470,10.000,-0.298,6.078,10.298,-0.649
2.480,10.000,-0.278,7.017,10.278,0.938
2.490,10.000,-0.267,7.166,10.267,0.149
2.500,10.000,-0.149,6.075,10.149,-1.091
2.510,10.000,-0.199,7.878,10.199,1.803
2.520,10.000,-0.110,6.474,10.110,-1.404
2.530,10.000,-0.050,6.791,10.050,0.317
2.540,10.000,-0.067,7.665,10.067,0.874
2.550,10.000,0.006,6.764,9.994,-0.901
2.560,10.000,0.100,6.541,9.900,-0.223
2.570,10.000,0.069,7.900,9.931,1.359
2.580,10.000,0.164,6.630,9.836,-1.270
2.590,10.000,0.132,8.004,9.868,1.374
2.600,10.000,0.273,6.210,9.727,-1.794
2.610,10.000,0.223,8.256,9.777,2.046
2.620,10.000,0.279,7.204,9.721,-1.052
2.630,10.000,0.357,6.990,9.643,-0.214
2.640,10.000,0.394,7.441,9.606,0.451
2.650,10.000,0.464,7.119,9.536,-0.322
2.660,10.000,0.441,8.147,9.559,1.028
2.670,10.000,0.555,6.746,9.445,-1.401
2.680,10.000,0.566,7.829,9.434,1.083
2.690,10.000,0.641,7.196,9.359,-0.633
2.700,10.000,0.600,8.466,9.400,1.270
2.710,10.000,0.709,6.932,9.291,-1.535
2.720,10.000,0.705,8.143,9.295,1.211
2.730,10.000,0.799,7.146,9.201,-0.997
2.740,10.000,0.839,7.716,9.161,0.570
2.750,10.000,0.891,7.617,9.109,-0.099
2.760,10.000,0.933,7.745,9.067,0.129
2.770,10.000,0.975,7.774,9.025,0.028
2.780,10.000,0.992,8.085,9.008,0.311
2.790,10.000,1.018,8.039,8.982,-0.045
