Time,Setpoint,Measurement,Output,Error,DeltaOutput
5.410,10.000,8.755,9.242,1.245,-0.877
5.420,10.000,8.774,9.706,1.226,0.464
5.430,10.000,8.811,9.491,1.189,-0.215
5.440,10.000,8.826,9.702,1.174,0.212
5.450,10.000,8.792,10.241,1.208,0.539
5.460,10.000,8.833,9.462,1.167,-0.779
5.470,10.000,8.870,9.466,1.130,0.004
5.480,10.000,8.856,10.011,1.144,0.545
5.490,10.000,8.900,9.388,1.100,-0.624
5.500,10.000,8.840,10.492,1.160,1.104
5.510,10.000,8.889,9.375,1.111,-1.117
5.520,10.000,8.875,10.021,1.125,0.646
5.530,10.000,8.934,9.238,1.066,-0.783
5.540,10.000,8.954,9.616,1.046,0.378
5.550,10.000,8.950,9.876,1.050,0.259
5.560,10.000,9.010,9.182,0.990,-0.694
5.570,10.000,8.933,10.631,1.067,1.449
5.580,10.000,8.967,9.497,1.033,-1.134
5.590,10.000,9.006,9.420,0.994,-0.077
5.600,10.000,8.968,10.233,1.032,0.813
5.610,10.000,8.999,9.525,1.001,-0.708
5.620,10.000,9.091,8.829,0.909,-0.696
5.630,10.000,9.037,10.341,0.963,1.512
5.640,10.000,9.061,9.561,0.939,-0.780
5.650,10.000,9.059,9.816,0.941,0.256
5.660,10.000,9.127,9.066,0.873,-0.750
5.670,10.000,9.103,10.005,0.897,0.939
5.680,10.000,9.168,9.064,0.832,-0.942
5.690,10.000,9.152,9.892,0.848,0.828
5.700,10.000,9.176,9.488,0.824,-0.404
5.710,10.000,9.102,10.534,0.898,1.046
5.720,10.000,9.144,9.347,0.856,-1.186
5.730,10.000,9.170,9.480,0.830,0.132
5.740,10.000,9.220,9.210,0.780,-0.270
5.750,10.000,9.156,10.412,0.844,1.202
5.760,10.000,9.240,8.850,0.760,-1.562
5.770,10.000,9.209,10.047,0.791,1.197
5.780,10.000,9.274,9.015,0.726,-1.032
5.790,10.000,9.223,10.244,0.777,1.229
5.800,10.000,9.228,9.680,0.772,-0.564
5.810,10.000,9.320,8.725,0.680,-0.955
5.820,10.000,9.297,9.908,0.703,1.183
5.830,10.000,9.274,9.930,0.726,0.022
5.840,10.000,9.311,9.301,0.689,-0.629
5.850,10.000,9.300,9.794,0.700,0.493
5.860,10.000,9.359,9.044,0.641,-0.750
5.870,10.000,9.336,9.894,0.664,0.850
5.880,10.000,9.341,9.603,0.659,-0.291
5.890,10.000,9.314,9.965,0.686,0.361
5.900,10.000,9.323,9.601,0.677,-0.364
5.910,10.000,9.378,9.096,0.622,-0.505
5.920,10.000,9.362,9.822,0.638,0.726
5.930,10.000,9.450,8.701,0.550,-1.121
5.940,10.000,9.437,9.716,0.563,1.015
5.950,10.000,9.431,9.666,0.569,-0.050
5.960,10.000,9.405,9.906,0.595,0.240
5.970,10.000,9.454,9.103,0.546,-0.803
5.980,10.000,9.411,10.061,0.589,0.958
5.990,10.000,9.437,9.360,0.563,-0.701
6.000,10.000,9.458,9.391,0.542,0.030
6.010,10.000,9.527,8.848,0.473,-0.543
6.020,10.000,9.461,10.270,0.539,1.422
6.030,10.000,9.512,9.053,0.488,-1.217
6.040,10.000,9.495,9.752,0.505,0.699
6.050,10.000,9.472,9.836,0.528,0.084
6.060,10.000,9.547,8.790,0.453,-1.046
6.070,10.000,9.496,10.100,0.504,1.310
6.080,10.000,9.536,9.148,0.464,-0.952
6.090,10.000,9.558,9.317,0.442,0.169
6.100,10.000,9.551,9.618,0.449,0.301
6.110,10.000,9.579,9.248,0.421,-0.370
6.120,10.000,9.581,9.498,0.419,0.250
6.130,10.000,9.546,9.919,0.454,0.421
6.140,10.000,9.639,8.539,0.361,-1.380
6.150,10.000,9.561,10.334,0.439,1.795
6.160,10.000,9.611,9.015,0.389,-1.319
6.170,10.000,9.645,9.131,0.355,0.117
6.180,10.000,9.640,9.538,0.360,0.407
6.190,10.000,9.677,9.074,0.323,-0.464
6.200,10.000,9.674,9.487,0.326,0.413
6.210,10.000,9.667,9.540,0.333,0.052
6.220,10.000,9.648,9.676,0.352,0.136
6.230,10.000,9.624,9.747,0.376,0.072
6.240,10.000,9.694,8.749,0.306,-0.999
6.250,10.000,9.653,9.900,0.347,1.152
6.260,10.000,9.714,8.826,0.286,-1.074
6.270,10.000,9.740,9.144,0.260,0.318
6.280,10.000,9.738,9.433,0.262,0.289
6.290,10.000,9.746,9.325,0.254,-0.108
6.300,10.000,9.688,10.047,0.312,0.722
6.310,10.000,9.703,9.299,0.297,-0.748
6.320,10.000,9.770,8.718,0.230,-0.581
6.330,10.000,9.737,9.762,0.263,1.044
6.340,10.000,9.787,8.874,0.213,-0.888
6.350,10.000,9.727,10.032,0.273,1.158
6.360,10.000,9.767,8.996,0.233,-1.036
6.370,10.000,9.776,9.305,0.224,0.308
6.380,10.000,9.763,9.536,0.237,0.231
6.390,10.000,9.828,8.694,0.172,-0.842
6.400,10.000,9.750,10.208,0.250,1.514
6.410,10.000,9.827,8.576,0.173,-1.632
6.420,10.000,9.804,9.606,0.196,1.030
6.430,10.000,9.825,9.132,0.175,-0.474
6.440,10.000,9.851,9.067,0.149,-0.065
6.450,10.000,9.813,9.754,0.187,0.687
6.460,10.000,9.854,8.911,0.146,-0.843
6.470,10.000,9.814,9.770,0.186,0.858
6.480,10.000,9.808,9.437,0.192,-0.333
6.490,10.000,9.836,9.075,0.164,-0.362
6.500,10.000,9.825,9.470,0.175,0.395
6.510,10.000,9.907,8.455,0.093,-1.015
6.520,10.000,9.913,9.222,0.087,0.767
6.530,10.000,9.875,9.693,0.125,0.471
6.540,10.000,9.926,8.758,0.074,-0.935
6.550,10.000,9.892,9.631,0.108,0.874
6.560,10.000,9.912,9.086,0.088,-0.546
6.570,10.000,9.908,9.319,0.092,0.233
6.580,10.000,9.900,9.374,0.100,0.056
6.590,10.000,9.910,9.191,0.090,-0.183
6.600,10.000,9.907,9.317,0.093,0.126
6.610,10.000,9.933,8.999,0.067,-0.318
6.620,10.000,9.944,9.144,0.056,0.145
6.630,10.000,9.900,9.730,0.100,0.586
6.640,10.000,9.992,8.292,0.008,-1.438
6.650,10.000,9.938,9.791,0.062,1.499
6.660,10.000,9.935,9.298,0.065,-0.493
6.670,10.000,9.952,9.071,0.048,-0.227
6.680,10.000,10.007,8.641,-0.007,-0.430
6.690,10.000,9.977,9.525,0.023,0.884
6.700,10.000,9.952,9.493,0.048,-0.033
6.710,10.000,10.028,8.412,-0.028,-1.080
6.720,10.000,9.961,9.907,0.039,1.494
6.730,10.000,10.013,8.667,-0.013,-1.239
6.740,10.000,9.997,9.360,0.003,0.693
6.750,10.000,9.956,9.653,0.044,0.293
6.760,10.000,9.962,9.174,0.038,-0.479
6.770,10.000,9.982,9.025,0.018,-0.149
6.780,10.000,9.994,9.080,0.006,0.055
6.790,10.000,9.981,9.346,0.019,0.265
6.800,10.000,10.022,8.774,-0.022,-0.572
6.810,10.000,10.017,9.233,-0.017,0.459
6.820,10.000,10.080,8.488,-0.080,-0.746
6.830,10.000,10.019,9.788,-0.019,1.301
6.840,10.000,10.076,8.549,-0.076,-1.239
6.850,10.000,10.077,9.111,-0.077,0.562
6.860,10.000,10.083,9.049,-0.083,-0.063
6.870,10.000,10.047,9.511,-0.047,0.462
6.880,10.000,10.045,9.169,-0.045,-0.341
6.890,10.000,10.038,9.236,-0.038,0.067
6.900,10.000,10.105,8.414,-0.105,-0.822
6.910,10.000,10.088,9.276,-0.088,0.861
6.920,10.000,10.101,8.964,-0.101,-0.312
6.930,10.000,10.073,9.397,-0.073,0.433
6.940,10.000,10.114,8.675,-0.114,-0.722
6.950,10.000,10.105,9.168,-0.105,0.493
6.960,10.000,10.125,8.862,-0.125,-0.306
6.970,10.000,10.050,9.894,-0.050,1.032
6.980,10.000,10.060,9.024,-0.060,-0.870
6.990,10.000,10.130,8.362,-0.130,-0.662
7.000,10.000,10.119,9.177,-0.119,0.815
7.010,10.000,10.093,9.351,-0.093,0.174
7.020,10.000,10.133,8.650,-0.133,-0.702
7.030,10.000,10.157,8.795,-0.157,0.145
7.040,10.000,10.171,8.870,-0.171,0.076
7.050,10.000,10.090,9.898,-0.090,1.028
7.060,10.000,10.174,8.172,-0.174,-1.726
7.070,10.000,10.082,10.011,-0.082,1.839
7.080,10.000,10.123,8.652,-0.123,-1.359
7.090,10.000,10.107,9.227,-0.107,0.576
7.100,10.000,10.105,9.094,-0.105,-0.133
7.110,10.000,10.174,8.309,-0.174,-0.785
7.120,10.000,10.149,9.279,-0.149,0.969
7.130,10.000,10.205,8.408,-0.205,-0.870
7.140,10.000,10.108,10.029,-0.108,1.621
7.150,10.000,10.142,8.692,-0.142,-1.337
7.160,10.000,10.194,8.453,-0.194,-0.239
7.170,10.000,10.200,8.911,-0.200,0.458
7.180,10.000,10.187,9.112,-0.187,0.201
7.190,10.000,10.133,9.572,-0.133,0.460
7.200,10.000,10.133,9.033,-0.133,-0.539
7.210,10.000,10.182,8.482,-0.182,-0.551
7.220,10.000,10.207,8.702,-0.207,0.221
7.230,10.000,10.210,8.928,-0.210,0.226
7.240,10.000,10.228,8.749,-0.228,-0.179
7.250,10.000,10.189,9.357,-0.189,0.608
7.260,10.000,10.185,9.008,-0.185,-0.349
7.270,10.000,10.219,8.592,-0.219,-0.416
7.280,10.000,10.201,9.131,-0.201,0.539
7.290,10.000,10.197,8.988,-0.197,-0.143
7.300,10.000,10.197,8.951,-0.197,-0.037
7.310,10.000,10.171,9.242,-0.171,0.291
7.320,10.000,10.237,8.241,-0.237,-1.001
7.330,10.000,10.167,9.675,-0.167,1.434
7.340,10.000,10.167,8.978,-0.167,-0.697
7.350,10.000,10.244,8.126,-0.244,-0.852
7.360,10.000,10.190,9.487,-0.190,1.361
7.370,10.000,10.263,8.141,-0.263,-1.347
7.380,10.000,10.246,9.067,-0.246,0.926
7.390,10.000,10.228,9.077,-0.228,0.010
7.400,10.000,10.182,9.410,-0.182,0.333
7.410,10.000,10.265,8.034,-0.265,-1.376
7.420,10.000,10.207,9.501,-0.207,1.467
7.430,10.000,10.239,8.566,-0.239,-0.935
7.440,10.000,10.268,8.566,-0.268,0.000
7.450,10.000,10.217,9.416,-0.217,0.850
7.460,10.000,10.273,8.289,-0.273,-1.127
7.470,10.000,10.251,9.086,-0.251,0.797
7.480,10.000,10.209,9.330,-0.209,0.244
7.490,10.000,10.248,8.473,-0.248,-0.857
7.500,10.000,10.269,8.629,-0.269,0.156
7.510,10.000,10.217,9.410,-0.217,0.781
7.520,10.000,10.204,9.041,-0.204,-0.368
7.530,10.000,10.254,8.354,-0.254,-0.687
7.540,10.000,10.301,8.328,-0.301,-0.025
7.550,10.000,10.296,8.852,-0.296,0.524
7.560,10.000,10.205,9.813,-0.205,0.960
7.570,10.000,10.252,8.374,-0.252,-1.438
7.580,10.000,10.278,8.552,-0.278,0.177
7.590,10.000,10.266,8.950,-0.266,0.399
7.600,10.000,10.301,8.445,-0.301,-0.505
7.610,10.000,10.225,9.625,-0.225,1.179
7.620,10.000,10.289,8.149,-0.289,-1.476
7.630,10.000,10.281,8.884,-0.281,0.735
7.640,10.000,10.240,9.260,-0.240,0.375
7.650,10.000,10.295,8.233,-0.295,-1.027
7.660,10.000,10.261,9.151,-0.261,0.919
7.670,10.000,10.270,8.723,-0.270,-0.428
7.680,10.000,10.289,8.590,-0.289,-0.133
7.690,10.000,10.242,9.298,-0.242,0.708
7.700,10.000,10.231,8.952,-0.231,-0.345
7.710,10.000,10.302,8.052,-0.302,-0.900
7.720,10.000,10.230,9.561,-0.230,1.508
7.730,10.000,10.265,8.448,-0.265,-1.113
7.740,10.000,10.259,8.858,-0.259,0.410
7.750,10.000,10.320,8.128,-0.320,-0.730
7.760,10.000,10.295,9.010,-0.295,0.882
7.770,10.000,10.244,9.329,-0.244,0.318
7.780,10.000,10.287,8.331,-0.287,-0.997
7.790,10.000,10.318,8.425,-0.318,0.094
7.800,10.000,10.297,8.958,-0.297,0.533
7.810,10.000,10.260,9.156,-0.260,0.198
7.820,10.000,10.343,7.865,-0.343,-1.291
7.830,10.000,10.300,9.170,-0.300,1.305
7.840,10.000,10.311,8.616,-0.311,-0.555
7.850,10.000,10.340,8.408,-0.340,-0.208
7.860,10.000,10.297,9.168,-0.297,0.760
7.870,10.000,10.314,8.542,-0.314,-0.626
7.880,10.000,10.282,9.068,-0.282,0.526
7.890,10.000,10.270,8.872,-0.270,-0.196
7.900,10.000,10.274,8.717,-0.274,-0.155
7.910,10.000,10.275,8.737,-0.275,0.020
7.920,10.000,10.286,8.623,-0.286,-0.114
7.930,10.000,10.346,8.068,-0.346,-0.555
7.940,10.000,10.337,8.762,-0.337,0.694
7.950,10.000,10.305,9.031,-0.305,0.269
7.960,10.000,10.318,8.553,-0.318,-0.479
7.970,10.000,10.281,9.097,-0.281,0.544
7.980,10.000,10.356,7.905,-0.356,-1.192
7.990,10.000,10.281,9.466,-0.281,1.561
8.000,10.000,10.302,8.484,-0.302,-0.983
8.010,10.000,10.257,9.192,-0.257,0.708
8.020,10.000,10.359,7.614,-0.359,-1.578
8.030,10.000,10.300,9.284,-0.300,1.670
8.040,10.000,10.289,8.813,-0.289,-0.470
8.050,10.000,10.284,8.753,-0.284,-0.060
8.060,10.000,10.291,8.625,-0.291,-0.129
8.070,10.000,10.353,8.004,-0.353,-0.621
8.080,10.000,10.289,9.334,-0.289,1.330
8.090,10.000,10.338,8.146,-0.338,-1.187
8.100,10.000,10.330,8.727,-0.330,0.581
8.110,10.000,10.350,8.420,-0.350,-0.307
8.120,10.000,10.354,8.571,-0.354,0.151
8.130,10.000,10.329,8.895,-0.329,0.324
8.140,10.000,10.311,8.828,-0.311,-0.067
8.150,10.000,10.325,8.493,-0.325,-0.335
8.160,10.000,10.327,8.608,-0.327,0.116
8.170,10.000,10.266,9.305,-0.266,0.697
8.180,10.000,10.297,8.346,-0.297,-0.959
8.190,10.000,10.266,8.991,-0.266,0.645
8.200,10.000,10.293,8.394,-0.293,-0.597
8.210,10.000,10.320,8.356,-0.320,-0.038
8.220,10.000,10.289,8.959,-0.289,0.603
8.230,10.000,10.325,8.255,-0.325,-0.704
8.240,10.000,10.312,8.765,-0.312,0.510
8.250,10.000,10.278,8.993,-0.278,0.228
8.260,10.000,10.281,8.627,-0.281,-0.367
8.270,10.000,10.280,8.657,-0.280,0.031
8.280,10.000,10.309,8.332,-0.309,-0.326
8.290,10.000,10.279,8.949,-0.279,0.617
8.300,10.000,10.310,8.306,-0.310,-0.643
8.310,10.000,10.353,8.141,-0.353,-0.164
8.320,10.000,10.277,9.401,-0.277,1.259
8.330,10.000,10.309,8.287,-0.309,-1.114
8.340,10.000,10.299,8.723,-0.299,0.436
8.350,10.000,10.311,8.479,-0.311,-0.244
8.360,10.000,10.331,8.377,-0.331,-0.102
8.370,10.000,10.327,8.622,-0.327,0.246
8.380,10.000,10.301,8.865,-0.301,0.242
8.390,10.000,10.363,7.922,-0.363,-0.943
8.400,10.000,10.301,9.220,-0.301,1.299
8.410,10.000,10.273,8.905,-0.273,-0.315
8.420,10.000,10.354,7.727,-0.354,-1.178
8.430,10.000,10.296,9.175,-0.296,1.449
8.440,10.000,10.342,8.087,-0.342,-1.089
8.450,10.000,10.299,9.017,-0.299,0.930
8.460,10.000,10.362,7.895,-0.362,-1.122
8.470,10.000,10.303,9.166,-0.303,1.272
8.480,10.000,10.305,8.554,-0.305,-0.613
8.490,10.000,10.292,8.718,-0.292,0.164
8.500,10.000,10.309,8.395,-0.309,-0.323
8.510,10.000,10.330,8.330,-0.330,-0.066
8.520,10.000,10.344,8.389,-0.344,0.059
8.530,10.000,10.330,8.675,-0.330,0.287
8.540,10.000,10.287,9.009,-0.287,0.334
8.550,10.000,10.293,8.509,-0.293,-0.500
8.560,10.000,10.345,7.990,-0.345,-0.518
8.570,10.000,10.298,9.028,-0.298,1.037
8.580,10.000,10.304,8.496,-0.304,-0.532
8.590,10.000,10.285,8.759,-0.285,0.263
8.600,10.000,10.314,8.243,-0.314,-0.516
8.610,10.000,10.344,8.208,-0.344,-0.036
8.620,10.000,10.267,9.341,-0.267,1.133
8.630,10.000,10.327,7.918,-0.327,-1.423
8.640,10.000,10.282,9.009,-0.282,1.091
8.650,10.000,10.302,8.339,-0.302,-0.670
8.660,10.000,10.267,8.916,-0.267,0.577
8.670,10.000,10.349,7.665,-0.349,-1.251
8.680,10.000,10.358,8.384,-0.358,0.719
8.690,10.000,10.297,9.137,-0.297,0.753
8.700,10.000,10.340,8.050,-0.340,-1.087
8.710,10.000,10.293,8.998,-0.293,0.948
8.720,10.000,10.305,8.403,-0.305,-0.596
8.730,10.000,10.323,8.308,-0.323,-0.094
8.740,10.000,10.325,8.470,-0.325,0.162
8.750,10.000,10.276,9.030,-0.276,0.560
8.760,10.000,10.258,8.727,-0.258,-0.303
8.770,10.000,10.323,7.838,-0.323,-0.889
8.780,10.000,10.315,8.567,-0.315,0.729
8.790,10.000,10.294,8.726,-0.294,0.159
8.800,10.000,10.345,7.938,-0.345,-0.788
8.810,10.000,10.255,9.451,-0.255,1.513
8.820,10.000,10.261,8.474,-0.261,-0.977
8.830,10.000,10.326,7.813,-0.326,-0.661
8.840,10.000,10.322,8.510,-0.322,0.697
8.850,10.000,10.279,8.941,-0.279,0.431
8.860,10.000,10.351,7.717,-0.351,-1.224
8.870,10.000,10.299,9.002,-0.299,1.286
8.880,10.000,10.316,8.300,-0.316,-0.702
8.890,10.000,10.286,8.784,-0.286,0.484
8.900,10.000,10.322,8.093,-0.322,-0.691
8.910,10.000,10.262,9.119,-0.262,1.026
8.920,10.000,10.269,8.428,-0.269,-0.691
8.930,10.000,10.329,7.841,-0.329,-0.587
8.940,10.000,10.322,8.514,-0.322,0.674
8.950,10.000,10.285,8.851,-0.285,0.337
8.960,10.000,10.265,8.701,-0.265,-0.150
8.970,10.000,10.330,7.781,-0.330,-0.920
8.980,10.000,10.268,9.106,-0.268,1.325
8.990,10.000,10.264,8.536,-0.264,-0.570
9.000,10.000,10.268,8.440,-0.268,-0.096
9.010,10.000,10.251,8.676,-0.251,0.236
9.020,10.000,10.300,7.956,-0.300,-0.720
9.030,10.000,10.310,8.338,-0.310,0.382
9.040,10.000,10.311,8.417,-0.311,0.079
9.050,10.000,10.263,8.965,-0.263,0.548
9.060,10.000,10.330,7.735,-0.330,-1.229
9.070,10.000,10.308,8.650,-0.308,0.915
9.080,10.000,10.325,8.242,-0.325,-0.408
9.090,10.000,10.285,8.848,-0.285,0.606
9.100,10.000,10.248,8.852,-0.248,0.004
9.110,10.000,10.316,7.723,-0.316,-1.129
9.120,10.000,10.286,8.739,-0.286,1.016
9.130,10.000,10.250,8.841,-0.250,0.101
9.140,10.000,10.284,8.088,-0.284,-0.752
9.150,10.000,10.257,8.735,-0.257,0.647
9.160,10.000,10.278,8.233,-0.278,-0.501
9.170,10.000,10.278,8.427,-0.278,0.194
9.180,10.000,10.307,8.124,-0.307,-0.304
9.190,10.000,10.237,9.164,-0.237,1.040
9.200,10.000,10.316,7.601,-0.316,-1.563
9.210,10.000,10.274,8.850,-0.274,1.249
9.220,10.000,10.252,8.676,-0.252,-0.174
9.230,10.000,10.232,8.666,-0.232,-0.010
9.240,10.000,10.258,8.189,-0.258,-0.477
9.250,10.000,10.228,8.759,-0.228,0.571
9.260,10.000,10.272,7.983,-0.272,-0.777
9.270,10.000,10.272,8.429,-0.272,0.446
9.280,10.000,10.308,8.016,-0.308,-0.413
9.290,10.000,10.291,8.570,-0.291,0.554
9.300,10.000,10.286,8.447,-0.286,-0.122
9.310,10.000,10.228,9.041,-0.228,0.593
9.320,10.000,10.300,7.659,-0.300,-1.381
9.330,10.000,10.239,9.056,-0.239,1.397
9.340,10.000,10.297,7.792,-0.297,-1.264
9.350,10.000,10.265,8.733,-0.265,0.941
9.360,10.000,10.262,8.437,-0.262,-0.296
9.370,10.000,10.283,8.187,-0.283,-0.250
9.380,10.000,10.236,8.904,-0.236,0.716
9.390,10.000,10.250,8.271,-0.250,-0.633
9.400,10.000,10.231,8.624,-0.231,0.353
9.410,10.000,10.248,8.245,-0.248,-0.379
9.420,10.000,10.226,8.658,-0.226,0.413
9.430,10.000,10.284,7.791,-0.284,-0.867
9.440,10.000,10.259,8.656,-0.259,0.865
9.450,10.000,10.272,8.249,-0.272,-0.407
9.460,10.000,10.303,8.034,-0.303,-0.215
9.470,10.000,10.299,8.399,-0.299,0.365
9.480,10.000,10.214,9.287,-0.214,0.889
9.490,10.000,10.280,7.698,-0.280,-1.589
9.500,10.000,10.207,9.170,-0.207,1.471
9.510,10.000,10.302,7.392,-0.302,-1.777
9.520,10.000,10.221,9.227,-0.221,1.835
9.530,10.000,10.233,8.288,-0.233,-0.939
9.540,10.000,10.302,7.643,-0.302,-0.645
9.550,10.000,10.247,8.933,-0.247,1.290
9.560,10.000,10.231,8.570,-0.231,-0.363
9.570,10.000,10.244,8.249,-0.244,-0.321
9.580,10.000,10.296,7.814,-0.296,-0.435
9.590,10.000,10.210,9.277,-0.210,1.463
9.600,10.000,10.214,8.371,-0.214,-0.906
9.610,10.000,10.262,7.884,-0.262,-0.487
9.620,10.000,10.218,8.837,-0.218,0.953
9.630,10.000,10.289,7.623,-0.289,-1.214
9.640,10.000,10.276,8.469,-0.276,0.846
9.650,10.000,10.192,9.264,-0.192,0.795
9.660,10.000,10.237,7.920,-0.237,-1.344
9.670,10.000,10.223,8.537,-0.223,0.617
9.680,10.000,10.260,7.978,-0.260,-0.559
9.690,10.000,10.253,8.424,-0.253,0.446
9.700,10.000,10.253,8.344,-0.253,-0.080
9.710,10.000,10.272,8.143,-0.272,-0.200
9.720,10.000,10.183,9.312,-0.183,1.169
9.730,10.000,10.268,7.474,-0.268,-1.839
9.740,10.000,10.240,8.645,-0.240,1.172
9.750,10.000,10.232,8.439,-0.232,-0.207
9.760,10.000,10.225,8.436,-0.225,-0.003
9.770,10.000,10.236,8.253,-0.236,-0.183
9.780,10.000,10.224,8.481,-0.224,0.228
9.790,10.000,10.233,8.263,-0.233,-0.218
9.800,10.000,10.205,8.666,-0.205,0.402
9.810,10.000,10.228,8.128,-0.228,-0.537
9.820,10.000,10.226,8.376,-0.226,0.248
9.830,10.000,10.224,8.373,-0.224,-0.003
9.840,10.000,10.253,8.039,-0.253,-0.334
9.850,10.000,10.221,8.673,-0.221,0.635
9.860,10.000,10.172,8.893,-0.172,0.220
9.870,10.000,10.185,8.262,-0.185,-0.631
9.880,10.000,10.268,7.473,-0.268,-0.789
9.890,10.000,10.265,8.331,-0.265,0.858
9.900,10.000,10.193,9.099,-0.193,0.768
9.910,10.000,10.181,8.509,-0.181,-0.590
9.920,10.000,10.233,7.810,-0.233,-0.700
9.930,10.000,10.218,8.496,-0.218,0.686
9.940,10.000,10.171,8.862,-0.171,0.366
9.950,10.000,10.218,7.873,-0.218,-0.989
9.960,10.000,10.219,8.323,-0.219,0.450
9.970,10.000,10.212,8.414,-0.212,0.091
9.980,10.000,10.246,7.977,-0.246,-0.436
9.990,10.000,10.185,8.974,-0.185,0.997
10.000,10.000,10.178,8.440,-0.178,-0.534
10.010,10.000,10.213,7.990,-0.213,-0.450
10.020,10.000,10.172,8.783,-0.172,0.794
10.030,10.000,10.178,8.319,-0.178,-0.465
10.040,10.000,10.193,8.203,-0.193,-0.115
10.050,10.000,10.231,7.932,-0.231,-0.272
10.060,10.000,10.222,8.402,-0.222,0.470
10.070,10.000,10.232,8.216,-0.232,-0.187
10.080,10.000,10.181,8.867,-0.181,0.651
10.090,10.000,10.168,8.494,-0.168,-0.373
10.100,10.000,10.188,8.156,-0.188,-0.338
10.110,10.000,10.209,8.106,-0.209,-0.050
10.120,10.000,10.214,8.269,-0.214,0.163
10.130,10.000,10.233,8.114,-0.233,-0.155
10.140,10.000,10.154,9.167,-0.154,1.052
10.150,10.000,10.195,7.925,-0.195,-1.242
10.160,10.000,10.182,8.470,-0.182,0.546
10.170,10.000,10.155,8.639,-0.155,0.169
10.180,10.000,10.203,7.839,-0.203,-0.800
10.190,10.000,10.175,8.632,-0.175,0.793
10.200,10.000,10.153,8.591,-0.153,-0.040
10.210,10.000,10.229,7.524,-0.229,-1.067
10.220,10.000,10.183,8.796,-0.183,1.272
10.230,10.000,10.214,7.992,-0.214,-0.804
10.240,10.000,10.176,8.716,-0.176,0.724
10.250,10.000,10.190,8.182,-0.190,-0.534
10.260,10.000,10.163,8.627,-0.163,0.445
10.270,10.000,10.234,7.561,-0.234,-1.066
10.280,10.000,10.135,9.360,-0.135,1.800
10.290,10.000,10.149,8.228,-0.149,-1.132
10.300,10.000,10.160,8.229,-0.160,0.001
10.310,10.000,10.156,8.390,-0.156,0.161
10.320,10.000,10.199,7.881,-0.199,-0.509
10.330,10.000,10.171,8.611,-0.171,0.730
10.340,10.000,10.172,8.312,-0.172,-0.299
10.350,10.000,10.130,8.788,-0.130,0.477
10.360,10.000,10.148,8.176,-0.148,-0.613
10.370,10.000,10.142,8.413,-0.142,0.237
10.380,10.000,10.211,7.599,-0.211,-0.814
10.390,10.000,10.172,8.710,-0.172,1.111
10.400,10.000,10.155,8.511,-0.155,-0.200
10.410,10.000,10.143,8.464,-0.143,-0.047
10.420,10.000,10.134,8.454,-0.134,-0.010
10.430,10.000,10.222,7.383,-0.222,-1.071
10.440,10.000,10.123,9.350,-0.123,1.968
10.450,10.000,10.142,8.155,-0.142,-1.195
10.460,10.000,10.166,8.084,-0.166,-0.071
10.470,10.000,10.163,8.356,-0.163,0.272
10.480,10.000,10.149,8.472,-0.149,0.116
10.490,10.000,10.122,8.633,-0.122,0.161
10.500,10.000,10.197,7.530,-0.197,-1.103
10.510,10.000,10.155,8.742,-0.155,1.213
10.520,10.000,10.206,7.768,-0.206,-0.974
10.530,10.000,10.135,9.042,-0.135,1.274
10.540,10.000,10.132,8.379,-0.132,-0.663
10.550,10.000,10.145,8.195,-0.145,-0.184
10.560,10.000,10.190,7.831,-0.190,-0.364
10.570,10.000,10.154,8.685,-0.154,0.854
10.580,10.000,10.140,8.471,-0.140,-0.214
10.590,10.000,10.193,7.738,-0.193,-0.732
10.600,10.000,10.164,8.598,-0.164,0.860
10.610,10.000,10.163,8.316,-0.163,-0.282
10.620,10.000,10.113,8.850,-0.113,0.534
10.630,10.000,10.133,8.129,-0.133,-0.721
10.640,10.000,10.105,8.642,-0.105,0.513
10.650,10.000,10.158,7.774,-0.158,-0.869
10.660,10.000,10.131,8.602,-0.131,0.828
10.670,10.000,10.121,8.437,-0.121,-0.164
10.680,10.000,10.169,7.811,-0.169,-0.627
10.690,10.000,10.111,8.926,-0.111,1.115
10.700,10.000,10.170,7.701,-0.170,-1.225
10.710,10.000,10.195,8.012,-0.195,0.311
10.720,10.000,10.126,9.011,-0.126,1.000
10.730,10.000,10.176,7.781,-0.176,-1.231
10.740,10.000,10.190,8.121,-0.190,0.341
10.750,10.000,10.130,8.916,-0.130,0.795
10.760,10.000,10.193,7.628,-0.193,-1.288
10.770,10.000,10.132,8.930,-0.132,1.302
10.780,10.000,10.176,7.829,-0.176,-1.101
10.790,10.000,10.119,8.894,-0.119,1.065
10.800,10.000,10.138,8.117,-0.138,-0.778
10.810,10.000,10.152,8.155,-0.152,0.038
10.820,10.000,10.161,8.191,-0.161,0.036
10.830,10.000,10.124,8.681,-0.124,0.490
10.840,10.000,10.175,7.752,-0.175,-0.929
10.850,10.000,10.175,8.267,-0.175,0.515
10.860,10.000,10.153,8.504,-0.153,0.237
10.870,10.000,10.150,8.316,-0.150,-0.188
10.880,10.000,10.120,8.613,-0.120,0.297
10.890,10.000,10.085,8.702,-0.085,0.088
10.900,10.000,10.136,7.778,-0.136,-0.923
10.910,10.000,10.178,7.835,-0.178,0.056
10.920,10.000,10.136,8.713,-0.136,0.879
10.930,10.000,10.139,8.260,-0.139,-0.454
