Time,Setpoint,Measurement,Output,Error
1.580,10.000,9.219,7.810,0.781
1.590,10.000,9.234,7.658,0.766
1.600,10.000,9.265,7.346,0.735
1.610,10.000,9.183,8.171,0.817
1.620,10.000,9.196,8.035,0.804
1.630,10.000,9.269,7.307,0.731
1.640,10.000,9.233,7.668,0.767
1.650,10.000,9.219,7.811,0.781
1.660,10.000,9.232,7.683,0.768
1.670,10.000,9.217,7.828,0.783
1.680,10.000,9.268,7.323,0.732
1.690,10.000,9.189,8.106,0.811
1.700,10.000,9.180,8.200,0.820
1.710,10.000,9.175,8.249,0.825
1.720,10.000,9.238,7.623,0.762
1.730,10.000,9.202,7.979,0.798
1.740,10.000,9.219,7.806,0.781
1.750,10.000,9.220,7.797,0.780
1.760,10.000,9.187,8.130,0.813
1.770,10.000,9.273,7.270,0.727
1.780,10.000,9.228,7.719,0.772
1.790,10.000,9.185,8.151,0.815
1.800,10.000,9.207,7.933,0.793
1.810,10.000,9.282,7.181,0.718
1.820,10.000,9.273,7.272,0.727
1.830,10.000,9.277,7.228,0.723
1.840,10.000,9.272,7.284,0.728
1.850,10.000,9.250,7.498,0.750
1.860,10.000,9.245,7.546,0.755
1.870,10.000,9.194,8.061,0.806
1.880,10.000,9.177,8.226,0.823
1.890,10.000,9.201,7.995,0.799
1.900,10.000,9.266,7.339,0.734
1.910,10.000,9.277,7.234,0.723
1.920,10.000,9.213,7.867,0.787
1.930,10.000,9.189,8.112,0.811
1.940,10.000,9.275,7.254,0.725
1.950,10.000,9.178,8.224,0.822
1.960,10.000,9.241,7.590,0.759
1.970,10.000,9.236,7.643,0.764
1.980,10.000,9.227,7.734,0.773
1.990,10.000,9.237,7.634,0.763
2.000,10.000,9.256,7.445,0.744
2.010,10.000,9.233,7.668,0.767
2.020,10.000,9.235,7.651,0.765
2.030,10.000,9.213,7.869,0.787
2.040,10.000,9.258,7.418,0.742
2.050,10.000,9.274,7.261,0.726
2.060,10.000,9.250,7.499,0.750
2.070,10.000,9.259,7.411,0.741
2.080,10.000,9.258,7.420,0.742
2.090,10.000,9.193,8.072,0.807
2.100,10.000,9.262,7.382,0.738
2.110,10.000,9.180,8.202,0.820
2.120,10.000,9.193,8.070,0.807
2.130,10.000,9.256,7.440,0.744
2.140,10.000,9.181,8.188,0.819
2.150,10.000,9.191,8.085,0.809
2.160,10.000,9.236,7.644,0.764
2.170,10.000,9.258,7.417,0.742
2.180,10.000,9.213,7.867,0.787
2.190,10.000,9.237,7.627,0.763
2.200,10.000,9.180,8.201,0.820
2.210,10.000,9.203,7.967,0.797
2.220,10.000,9.240,7.595,0.760
2.230,10.000,9.222,7.777,0.778
2.240,10.000,9.218,7.825,0.782
2.250,10.000,9.237,7.628,0.763
2.260,10.000,9.225,7.752,0.775
2.270,10.000,9.280,7.200,0.720
2.280,10.000,9.191,8.087,0.809
2.290,10.000,9.273,7.272,0.727
2.300,10.000,9.235,7.651,0.765
2.310,10.000,9.268,7.319,0.732
2.320,10.000,9.224,7.758,0.776
2.330,10.000,9.191,8.089,0.809
2.340,10.000,9.205,7.946,0.795
2.350,10.000,9.209,7.908,0.791
2.360,10.000,9.194,8.057,0.806
2.370,10.000,9.187,8.128,0.813
2.380,10.000,9.202,7.981,0.798
2.390,10.000,9.288,7.117,0.712
2.400,10.000,9.212,7.882,0.788
2.410,10.000,9.192,8.082,0.808
2.420,10.000,9.198,8.015,0.802
2.430,10.000,9.238,7.624,0.762
2.440,10.000,9.277,7.234,0.723
2.450,10.000,9.205,7.951,0.795
2.460,10.000,9.251,7.491,0.749
2.470,10.000,9.231,7.692,0.769
2.480,10.000,9.285,7.151,0.715
2.490,10.000,9.283,7.173,0.717
2.500,10.000,9.184,8.163,0.816
2.510,10.000,9.284,7.163,0.716
2.520,10.000,9.202,7.982,0.798
2.530,10.000,9.243,7.567,0.757
2.540,10.000,9.222,7.779,0.778
2.550,10.000,9.239,7.614,0.761
2.560,10.000,9.197,8.033,0.803
2.570,10.000,9.266,7.337,0.734
